ensembl_gene_id,gene_symbol,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000000567,Sox9,73,72.417,112,114.308,0,1,1,25
ENSMUSG00000000568,Hnrnpd,2266.986,2054.4930000000004,2310.212,2675.931,2,0,2,200.00100000000003
ENSMUSG00000000579,Dynlt1c,560.55,498.847,491.50700000000006,605.5179999999999,0,0,0,49.889
ENSMUSG00000000581,C1d,2001.13,1863.697,1783.562,2466.2479999999996,0,0,1,196.999
ENSMUSG00000000594,Gm2a,1922.389,1727.387,2098.613,2248.763,3,2,3,238
ENSMUSG00000000600,Krit1,1886.647,1785.404,2065.922,2073.41,0,1,0,131.442
ENSMUSG00000000605,Clcn4,5656.911,5345.462999999999,5996.682000000001,6613.954,8,5,7,349.00100000000003
ENSMUSG00000000606,Vmn2r88,3.435,1.087,7.978999999999999,4.141,0,0,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0,0,0
ENSMUSG00000000627,Sema4f,5183.036,4478.116999999999,4426.7390000000005,5698.336,6,2,7,368
ENSMUSG00000000628,Hk2,298.99,239.005,182,214.035,0,0,0,18
ENSMUSG00000000631,Myo18a,10072.954,8576.299,9674.812000000002,10779.368999999997,8,8,6,607.149
ENSMUSG00000000632,Sez6,1661.858,1349.032,1513.7390000000003,1843.1290000000001,2,2,15,190.729
ENSMUSG00000000673,Haao,23.117,17.747,20.139000000000003,19.835,0,0,0,2
ENSMUSG00000000682,Cd52,378.681,197.47,150.944,180.573,0,0,0,12
ENSMUSG00000000686,Abhd15,102.036,61,82,79,0,0,0,2
ENSMUSG00000000690,Hoxb6,377.379,390.889,424.432,434.443,0,0,0,49.001000000000005
ENSMUSG00000000693,Loxl3,290.964,274.07399999999996,353.038,319.91900000000004,0,0,0,10
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0.972,1,0,1.079,0,0,0,0
ENSMUSG00000000708,Kat2b,1510.1080000000002,1420.8490000000002,1662.0600000000002,1854.4200000000003,0,0,3,46.598
ENSMUSG00000000711,Rab5b,10983.47,10089.144999999999,11563.262,12511.284,2,0,1,669.8539999999999
ENSMUSG00000000724,Cryba1,6.411,1.944,2.004,5.22,0,0,0,0
ENSMUSG00000000730,Dnmt3l,3,5,3,1.099,0,0,0,1
ENSMUSG00000000731,Aire,9.002,5,10.948,7.743,0,0,0,0
ENSMUSG00000000732,Icosl,180.032,165.007,154.892,170.012,0,0,0,21
ENSMUSG00000000738,Spg7,2693.989,2326.3560000000007,2410.9380000000006,2835.667000000001,3,0,2,232.003
ENSMUSG00000000739,Sult5a1,193.63000000000002,157.087,177.136,189.899,0,0,0,19.316
ENSMUSG00000000740,Rpl13,10216.556000000002,8427.173999999999,10133.414,9543.856,7.017,0,1.098,725.315
ENSMUSG00000000743,Chmp1a,4568.776999999999,4226.187,4635.032,4871.393999999999,3,0,4,182
ENSMUSG00000000751,Rpa1,4035.079,3695.8050000000003,3992.408,4378.465,2,1,2,171
ENSMUSG00000000753,Serpinf1,3606.345,3244.3620000000005,3629.324,3798.395,3,3,4,276
ENSMUSG00000000759,Tubgcp3,1989.8080000000002,1732.076,2045.9339999999997,1904.736,0,0,0,89.99999999999999
ENSMUSG00000000766,Oprm1,471.48800000000006,379.427,634.169,385.735,1,3,3,60.99999999999999
ENSMUSG00000000776,Polr3d,818.251,689.6299999999999,767.934,865.12,1,0,0,57.00000000000001
ENSMUSG00000000782,Tcf7,93.001,74.025,85.007,94.01900000000002,1,0,0,4
ENSMUSG00000000787,Ddx3x,9658.641,9480.281,11890.610999999999,11115.199,2,0,6,544.5000000000001
ENSMUSG00000000791,Il12rb1,79.348,82.12899999999999,23.026,19.629,0,0,0,3.097
ENSMUSG00000000792,Slc5a5,867.411,907.148,989.548,1093.371,1,0,0,72
ENSMUSG00000000794,Kcnn3,176,128.002,168.654,145,0,0,0,9
ENSMUSG00000000804,Usp32,6740.261,6224.551,7730.540999999999,8053.919,1,1,2,230.99999999999997
ENSMUSG00000000805,Car4,182.48899999999998,138.56,138,150.058,0,0,0,14
ENSMUSG00000000811,Txnrd3,856.871,717.76,683.169,876.785,0,1,0,62
ENSMUSG00000000817,Fasl,2,5,3.002,3,0,0,0,2
ENSMUSG00000000823,Zfp512b,2183.0370000000003,1855.5639999999999,2351.2019999999998,2322.6280000000006,1,0,5,187
ENSMUSG00000000826,Dnajc5,10555.905999999999,9775.312,10855.050000000001,11740.023000000001,2,2,2,830
ENSMUSG00000000827,Tpd52l2,4048.871999999999,3740.045,4026.634,4572.618,2,6,5,273
ENSMUSG00000000838,Fmr1,1399.602,1194.981,1569.511,1487.509,0,0,1,166.961
ENSMUSG00000000861,Bcl11a,219,155.003,128.837,198.272,0,1,0,11.987
ENSMUSG00000000869,Il4,0,0,1,1,0,0,0,0
ENSMUSG00000000876,Pxmp4,814.675,766.528,873.673,862.292,1,0,0,45.211999999999996
ENSMUSG00000000881,Dlg3,516.227,539.8889999999999,584.02,570.8530000000001,0,0,0,26
ENSMUSG00000000884,Gnb1l,222.52499999999998,195.062,195.99999999999997,217,1,0,0,20.999
ENSMUSG00000000889,Dbh,6,6,7.001,11,0,0,0,1
ENSMUSG00000000901,Mmp11,138,130.107,170.30700000000002,134.985,0,0,0,6
ENSMUSG00000000902,Smarcb1,2136.622,1830.306,1914.3899999999996,2336.8360000000002,5,5,9.077,216.825
ENSMUSG00000000903,Vpreb3,0,1,2,0,1,0,0,2
ENSMUSG00000000915,Hip1r,3205.1659999999997,2772.2690000000002,3157.0530000000003,3755.2210000000005,6.01,2.001,4,160.82800000000003
ENSMUSG00000000916,Nsun5,552.601,456.00800000000004,451.00100000000003,533.0020000000001,0,0,1,37.999
ENSMUSG00000000934,Top1mt,575.9630000000001,621.49,560.011,637.7760000000001,0,0,1,25
ENSMUSG00000000938,Hoxa10,1210.231,1147.104,1114.668,1079.569,1,0,0,78
ENSMUSG00000000942,Hoxa4,73,83,112,78.098,0,0,1,9
ENSMUSG00000000948,Gm38393,702.098,641.9399999999999,829.037,852.646,2.523,3.801,6.75,408.14
ENSMUSG00000000957,Mmp14,1142.11,965.1250000000001,1075.537,1309.1159999999998,2,3,2,87.72400000000002
ENSMUSG00000000958,Slc7a7,2816.814,2672.9519999999998,2683.088,3231.979,7,10,13,150.001
ENSMUSG00000000959,Oxa1l,1858.574,1630.6280000000002,1636.856,1920.785,2,0,4,101
ENSMUSG00000000976,Heatr6,1467.628,1321.79,1437.855,1475.6099999999997,1,0,3,104.269
ENSMUSG00000000982,Ccl3,7,2,7,3,0,0,0,2
ENSMUSG00000000983,Wfdc18,1,0,1,1,0,0,0,0
ENSMUSG00000001014,Icam4,5,5.005,4,1,0,0,0,2
ENSMUSG00000001016,Ilf2,2568.479,2400.354,2507.986,2974.0950000000003,4.095,0,3,181.305
