ensembl_gene_id,gene_symbol,expressed_in_GSE261676,expressed_in_GSE123919,n_samples_expressed_GSE261676,n_samples_expressed_GSE123919,overlap_status
ENSMUSG00000001018,Snapin,TRUE,TRUE,4,8,shared
ENSMUSG00000001020,S100a4,TRUE,TRUE,4,6,shared
ENSMUSG00000001021,S100a3,TRUE,TRUE,4,2,shared
ENSMUSG00000001025,S100a6,TRUE,TRUE,4,8,shared
ENSMUSG00000001027,Scn4a,TRUE,TRUE,4,2,shared
ENSMUSG00000001029,Icam2,TRUE,TRUE,4,4,shared
ENSMUSG00000001034,Mapk7,TRUE,TRUE,4,7,shared
ENSMUSG00000001036,Epn2,TRUE,TRUE,4,7,shared
ENSMUSG00000001039,B9d1,TRUE,TRUE,4,5,shared
ENSMUSG00000001052,Sec24b,TRUE,TRUE,4,7,shared
ENSMUSG00000001053,N4bp3,TRUE,TRUE,4,6,shared
ENSMUSG00000001054,Rmnd5b,TRUE,TRUE,4,8,shared
ENSMUSG00000001056,Nhp2,TRUE,TRUE,4,7,shared
ENSMUSG00000001062,Vps9d1,TRUE,TRUE,4,7,shared
ENSMUSG00000001065,Zfp276,TRUE,TRUE,4,6,shared
ENSMUSG00000001076,C1ql4,TRUE,TRUE,4,5,shared
ENSMUSG00000001082,Mfsd10,TRUE,TRUE,4,5,shared
ENSMUSG00000001089,Luzp1,TRUE,TRUE,4,7,shared
ENSMUSG00000001098,Kctd10,TRUE,TRUE,4,8,shared
ENSMUSG00000001100,Poldip2,TRUE,TRUE,4,7,shared
ENSMUSG00000001105,Ift20,TRUE,TRUE,4,8,shared
ENSMUSG00000001119,Col6a1,TRUE,TRUE,4,8,shared
ENSMUSG00000001120,Pcbp3,TRUE,TRUE,4,8,shared
ENSMUSG00000001123,Lgals9,TRUE,TRUE,4,8,shared
ENSMUSG00000001127,Araf,TRUE,TRUE,4,8,shared
ENSMUSG00000001128,Cfp,TRUE,TRUE,4,7,shared
ENSMUSG00000001131,Timp1,TRUE,TRUE,4,6,shared
ENSMUSG00000001134,Uxt,TRUE,TRUE,4,6,shared
ENSMUSG00000001138,Cnnm3,TRUE,TRUE,4,8,shared
ENSMUSG00000001143,Lman2l,TRUE,TRUE,4,5,shared
ENSMUSG00000001150,Mcm3ap,TRUE,TRUE,4,8,shared
ENSMUSG00000001151,Pcnt,TRUE,TRUE,4,7,shared
ENSMUSG00000001156,Mxd1,TRUE,TRUE,4,5,shared
ENSMUSG00000001157,Gmcl1,TRUE,TRUE,4,5,shared
ENSMUSG00000001158,Snrnp27,TRUE,TRUE,4,8,shared
ENSMUSG00000001166,Oas1c,TRUE,TRUE,4,5,shared
ENSMUSG00000001173,Ocrl,TRUE,TRUE,4,7,shared
ENSMUSG00000001175,Calm1,TRUE,TRUE,4,8,shared
ENSMUSG00000001211,Agpat3,TRUE,TRUE,4,8,shared
ENSMUSG00000001227,Sema6b,TRUE,TRUE,4,6,shared
ENSMUSG00000001229,Dpp9,TRUE,TRUE,4,8,shared
ENSMUSG00000001240,Ramp2,TRUE,TRUE,4,7,shared
ENSMUSG00000001247,Lsr,TRUE,TRUE,4,7,shared
ENSMUSG00000001248,Gramd1a,TRUE,TRUE,4,7,shared
ENSMUSG00000001249,Hpn,TRUE,TRUE,4,5,shared
ENSMUSG00000001260,Gabrg1,TRUE,TRUE,4,5,shared
ENSMUSG00000001270,Ckb,TRUE,TRUE,4,8,shared
ENSMUSG00000001280,Sp1,TRUE,TRUE,4,8,shared
ENSMUSG00000001281,Itgb7,TRUE,TRUE,4,5,shared
ENSMUSG00000001285,Myg1,TRUE,TRUE,4,8,shared
ENSMUSG00000001288,Rarg,TRUE,TRUE,4,7,shared
ENSMUSG00000001289,Pfdn5,TRUE,TRUE,4,7,shared
ENSMUSG00000001300,Efnb2,TRUE,TRUE,4,7,shared
ENSMUSG00000001305,Rrp15,TRUE,TRUE,4,6,shared
ENSMUSG00000001313,Rnd2,TRUE,TRUE,4,8,shared
ENSMUSG00000001323,Srr,TRUE,TRUE,4,6,shared
ENSMUSG00000001333,Sync,TRUE,TRUE,4,7,shared
ENSMUSG00000001334,Fndc5,TRUE,TRUE,4,6,shared
ENSMUSG00000001348,Acp5,TRUE,TRUE,4,5,shared
ENSMUSG00000001366,Fbxo9,TRUE,TRUE,4,7,shared
ENSMUSG00000001376,Vps50,TRUE,TRUE,4,7,shared
ENSMUSG00000001380,Hars1,TRUE,TRUE,4,8,shared
ENSMUSG00000001383,Zmat2,TRUE,TRUE,4,6,shared
ENSMUSG00000001403,Ube2c,TRUE,TRUE,4,4,shared
ENSMUSG00000001415,Smg5,TRUE,TRUE,4,8,shared
ENSMUSG00000001416,Cct3,TRUE,TRUE,4,8,shared
ENSMUSG00000001418,Glmp,TRUE,TRUE,4,8,shared
ENSMUSG00000001419,Mef2d,TRUE,TRUE,4,8,shared
ENSMUSG00000001420,Tmem79,TRUE,TRUE,4,5,shared
ENSMUSG00000001424,Snd1,TRUE,TRUE,4,8,shared
ENSMUSG00000001435,Col18a1,TRUE,TRUE,4,7,shared
ENSMUSG00000001436,Slc19a1,TRUE,TRUE,4,5,shared
ENSMUSG00000001440,Kpnb1,TRUE,TRUE,4,8,shared
ENSMUSG00000001441,Npepps,TRUE,TRUE,4,8,shared
ENSMUSG00000001445,Mrpl10,TRUE,TRUE,4,8,shared
ENSMUSG00000001467,Cyp51,TRUE,TRUE,4,8,shared
ENSMUSG00000001472,Tcf25,TRUE,TRUE,4,8,shared
ENSMUSG00000001473,Tubb6,TRUE,TRUE,4,6,shared
ENSMUSG00000001482,Def8,TRUE,TRUE,4,8,shared
ENSMUSG00000001493,Meox1,TRUE,TRUE,4,1,shared
ENSMUSG00000001497,Pax9,TRUE,TRUE,1,1,shared
ENSMUSG00000001506,Col1a1,TRUE,TRUE,4,8,shared
ENSMUSG00000001507,Itga3,TRUE,TRUE,4,8,shared
ENSMUSG00000001510,Dlx3,TRUE,TRUE,4,1,shared
ENSMUSG00000001517,Foxm1,TRUE,TRUE,2,1,shared
ENSMUSG00000001518,Itfg2,TRUE,TRUE,4,8,shared
ENSMUSG00000001520,Nrip2,TRUE,TRUE,4,8,shared
ENSMUSG00000001521,Tulp3,TRUE,TRUE,4,5,shared
ENSMUSG00000001524,Gtf2h4,TRUE,TRUE,4,6,shared
ENSMUSG00000001525,Tubb5,TRUE,TRUE,4,8,shared
ENSMUSG00000001542,Ell2,TRUE,TRUE,4,7,shared
ENSMUSG00000001552,Jup,TRUE,TRUE,4,8,shared
ENSMUSG00000001555,Fkbp10,TRUE,TRUE,4,5,shared
ENSMUSG00000001569,Nom1,TRUE,TRUE,4,7,shared
ENSMUSG00000001576,Ergic1,TRUE,TRUE,4,7,shared
ENSMUSG00000001588,Acap1,TRUE,TRUE,1,1,shared
ENSMUSG00000001604,Tcea3,TRUE,TRUE,4,3,shared
ENSMUSG00000001627,Ifrd1,TRUE,TRUE,4,5,shared
ENSMUSG00000001630,Stk38l,TRUE,TRUE,4,7,shared
ENSMUSG00000001632,Brpf1,TRUE,TRUE,4,7,shared
ENSMUSG00000001642,Akr1b1,TRUE,TRUE,4,8,shared
ENSMUSG00000001656,Hoxc11,TRUE,TRUE,4,5,shared
ENSMUSG00000001657,Hoxc8,TRUE,TRUE,4,6,shared
ENSMUSG00000001661,Hoxc6,TRUE,TRUE,4,7,shared
ENSMUSG00000001663,Gstt1,TRUE,TRUE,4,7,shared
ENSMUSG00000001665,Gstt3,TRUE,TRUE,4,6,shared
ENSMUSG00000001666,Ddt,TRUE,TRUE,4,8,shared
ENSMUSG00000001672,Marveld3,TRUE,TRUE,4,1,shared
ENSMUSG00000001674,Ddx18,TRUE,TRUE,4,6,shared
ENSMUSG00000001687,Ubl3,TRUE,TRUE,4,8,shared
ENSMUSG00000001700,Gramd2b,TRUE,TRUE,4,6,shared
ENSMUSG00000001707,Eef1e1,TRUE,TRUE,4,8,shared
ENSMUSG00000001729,Akt1,TRUE,TRUE,4,8,shared
ENSMUSG00000001741,Il16,TRUE,TRUE,4,7,shared
ENSMUSG00000001750,Tcirg1,TRUE,TRUE,4,6,shared
ENSMUSG00000001751,Naglu,TRUE,TRUE,4,8,shared
ENSMUSG00000001755,Coasy,TRUE,TRUE,4,8,shared
ENSMUSG00000001761,Smo,TRUE,TRUE,4,5,shared
ENSMUSG00000001763,Tspan33,TRUE,TRUE,4,5,shared
ENSMUSG00000001767,Crnkl1,TRUE,TRUE,4,7,shared
ENSMUSG00000001768,Rin2,TRUE,TRUE,4,5,shared
ENSMUSG00000001773,Folh1,TRUE,TRUE,4,8,shared
ENSMUSG00000001774,Chordc1,TRUE,TRUE,4,6,shared
ENSMUSG00000001783,Rtcb,TRUE,TRUE,4,8,shared
ENSMUSG00000001785,Pwp1,TRUE,TRUE,4,5,shared
ENSMUSG00000001786,Fbxo7,TRUE,TRUE,4,8,shared
ENSMUSG00000001794,Capns1,TRUE,TRUE,4,8,shared
ENSMUSG00000001802,Lrp3,TRUE,TRUE,4,8,shared
ENSMUSG00000001829,Clpb,TRUE,TRUE,4,6,shared
ENSMUSG00000001833,Septin7,TRUE,TRUE,4,8,shared
ENSMUSG00000001844,Zdhhc4,TRUE,TRUE,4,6,shared
ENSMUSG00000001847,Rac1,TRUE,TRUE,4,8,shared
ENSMUSG00000001855,Nup214,TRUE,TRUE,4,8,shared
ENSMUSG00000001864,Aif1l,TRUE,TRUE,4,5,shared
ENSMUSG00000001865,Cpa3,TRUE,TRUE,4,1,shared
ENSMUSG00000001870,Ltbp1,TRUE,TRUE,4,7,shared
ENSMUSG00000001891,Ugp2,TRUE,TRUE,4,8,shared
ENSMUSG00000001901,Kcnh6,TRUE,TRUE,4,5,shared
ENSMUSG00000001909,Trmt1,TRUE,TRUE,4,7,shared
ENSMUSG00000001910,Nacc1,TRUE,TRUE,4,7,shared
ENSMUSG00000001911,Nfix,TRUE,TRUE,4,7,shared
ENSMUSG00000001918,Slc1a5,TRUE,TRUE,4,8,shared
ENSMUSG00000001924,Uba1,TRUE,TRUE,4,8,shared
ENSMUSG00000001930,Vwf,TRUE,TRUE,4,8,shared
ENSMUSG00000001942,Siae,TRUE,TRUE,4,7,shared
ENSMUSG00000001943,Vsig2,TRUE,TRUE,4,2,shared
ENSMUSG00000001946,Esam,TRUE,TRUE,4,7,shared
ENSMUSG00000001948,Spa17,TRUE,TRUE,4,5,shared
ENSMUSG00000001962,Fam50a,TRUE,TRUE,4,6,shared
ENSMUSG00000001964,Emd,TRUE,TRUE,4,8,shared
ENSMUSG00000001983,Taco1,TRUE,TRUE,4,6,shared
ENSMUSG00000001985,Grik3,TRUE,TRUE,4,7,shared
ENSMUSG00000001986,Gria3,TRUE,TRUE,4,7,shared
ENSMUSG00000001995,Sipa1l2,TRUE,TRUE,4,8,shared
ENSMUSG00000001998,Ap4e1,TRUE,TRUE,4,7,shared
ENSMUSG00000001999,Blvra,TRUE,TRUE,4,6,shared
ENSMUSG00000002006,Pdzd4,TRUE,TRUE,4,8,shared
ENSMUSG00000002007,Srpk3,TRUE,TRUE,4,5,shared
ENSMUSG00000002010,Idh3g,TRUE,TRUE,4,8,shared
ENSMUSG00000002012,Pnck,TRUE,TRUE,4,6,shared
ENSMUSG00000002014,Ssr4,TRUE,TRUE,4,6,shared
ENSMUSG00000002015,Bcap31,TRUE,TRUE,4,7,shared
ENSMUSG00000002017,Fam98a,TRUE,TRUE,4,8,shared
ENSMUSG00000002020,Ltbp2,TRUE,TRUE,2,1,shared
ENSMUSG00000002028,Kmt2a,TRUE,TRUE,4,7,shared
ENSMUSG00000002031,Ift46,TRUE,TRUE,4,7,shared
ENSMUSG00000002032,Tmem25,TRUE,TRUE,4,8,shared
ENSMUSG00000002043,Trappc6a,TRUE,TRUE,4,6,shared
ENSMUSG00000002052,Supt6,TRUE,TRUE,4,8,shared
ENSMUSG00000002055,Spag5,TRUE,TRUE,4,5,shared
ENSMUSG00000002058,Unc119,TRUE,TRUE,4,8,shared
ENSMUSG00000002059,Rab34,TRUE,TRUE,4,6,shared
ENSMUSG00000002064,Sdf2,TRUE,TRUE,4,8,shared
ENSMUSG00000002068,Ccne1,TRUE,TRUE,4,5,shared
ENSMUSG00000002083,Bbc3,TRUE,TRUE,4,5,shared
ENSMUSG00000002102,Psmc3,TRUE,TRUE,4,8,shared
ENSMUSG00000002103,Acp2,TRUE,TRUE,4,8,shared
ENSMUSG00000002104,Rapsn,TRUE,TRUE,4,4,shared
ENSMUSG00000002105,Slc39a13,TRUE,TRUE,4,6,shared
ENSMUSG00000002107,Celf2,TRUE,TRUE,4,7,shared
ENSMUSG00000002108,Nr1h3,TRUE,TRUE,4,6,shared
ENSMUSG00000002109,Ddb2,TRUE,TRUE,4,6,shared
ENSMUSG00000002111,Spi1,TRUE,TRUE,4,5,shared
ENSMUSG00000002129,Sf3a1,TRUE,TRUE,4,8,shared
ENSMUSG00000002147,Stat6,TRUE,TRUE,4,8,shared
ENSMUSG00000002190,Clgn,TRUE,TRUE,4,8,shared
ENSMUSG00000002204,Napsa,TRUE,TRUE,3,1,shared
ENSMUSG00000002205,Vrk3,TRUE,TRUE,4,7,shared
ENSMUSG00000002210,Smg9,TRUE,TRUE,4,8,shared
ENSMUSG00000002221,Paxip1,TRUE,TRUE,4,8,shared
ENSMUSG00000002222,Rmnd5a,TRUE,TRUE,4,6,shared
ENSMUSG00000002227,Mov10,TRUE,TRUE,4,5,shared
ENSMUSG00000002228,Ppm1j,TRUE,TRUE,4,6,shared
ENSMUSG00000002233,Rhoc,TRUE,TRUE,4,8,shared
ENSMUSG00000002249,Tead3,TRUE,TRUE,4,7,shared
ENSMUSG00000002250,Ppard,TRUE,TRUE,4,8,shared
ENSMUSG00000002257,Def6,TRUE,TRUE,4,6,shared
ENSMUSG00000002265,Peg3,TRUE,TRUE,4,8,shared
ENSMUSG00000002266,Zim1,TRUE,TRUE,4,3,shared
ENSMUSG00000002274,Metrn,TRUE,TRUE,4,7,shared
ENSMUSG00000002279,Lmf1,TRUE,TRUE,4,7,shared
ENSMUSG00000002280,Ciao3,TRUE,TRUE,4,7,shared
ENSMUSG00000002289,Angptl4,TRUE,TRUE,4,7,shared
ENSMUSG00000002297,Dbf4,TRUE,TRUE,4,5,shared
ENSMUSG00000002307,Daxx,TRUE,TRUE,4,7,shared
ENSMUSG00000002308,Cd320,TRUE,TRUE,4,6,shared
ENSMUSG00000002319,Ipo4,TRUE,TRUE,4,7,shared
ENSMUSG00000002320,Tm9sf1,TRUE,TRUE,4,6,shared
ENSMUSG00000002324,Rec8,TRUE,TRUE,2,6,shared
ENSMUSG00000002325,Irf9,TRUE,TRUE,4,6,shared
ENSMUSG00000002326,Gmpr2,TRUE,TRUE,4,6,shared
ENSMUSG00000002329,Mdp1,TRUE,TRUE,4,6,shared
ENSMUSG00000002332,Dhrs1,TRUE,TRUE,4,8,shared
ENSMUSG00000002341,Ncan,TRUE,TRUE,4,7,shared
ENSMUSG00000002342,Tmem161a,TRUE,TRUE,4,8,shared
ENSMUSG00000002343,Armc6,TRUE,TRUE,4,8,shared
ENSMUSG00000002345,Borcs8,TRUE,TRUE,4,5,shared
ENSMUSG00000002346,Slc25a42,TRUE,TRUE,4,6,shared
ENSMUSG00000002365,Snx9,TRUE,TRUE,4,6,shared
ENSMUSG00000002372,Ranbp3,TRUE,TRUE,4,8,shared
ENSMUSG00000002379,Ndufa11,TRUE,TRUE,4,8,shared
ENSMUSG00000002393,Nr2f6,TRUE,TRUE,4,8,shared
ENSMUSG00000002395,Use1,TRUE,TRUE,4,7,shared
ENSMUSG00000002396,Ocel1,TRUE,TRUE,4,6,shared
ENSMUSG00000002409,Dyrk1b,TRUE,TRUE,4,7,shared
ENSMUSG00000002413,Braf,TRUE,TRUE,4,6,shared
ENSMUSG00000002416,Ndufb2,TRUE,TRUE,4,8,shared
ENSMUSG00000002428,Hltf,TRUE,TRUE,4,5,shared
ENSMUSG00000002455,Prpf6,TRUE,TRUE,4,7,shared
ENSMUSG00000002458,Rgs19,TRUE,TRUE,4,5,shared
ENSMUSG00000002459,Rgs20,TRUE,TRUE,4,5,shared
ENSMUSG00000002475,Abhd3,TRUE,TRUE,4,8,shared
ENSMUSG00000002477,Snrpd1,TRUE,TRUE,4,6,shared
ENSMUSG00000002486,Tchp,TRUE,TRUE,4,5,shared
ENSMUSG00000002489,Tiam1,TRUE,TRUE,4,6,shared
ENSMUSG00000002496,Tsc2,TRUE,TRUE,4,8,shared
ENSMUSG00000002504,Nherf2,TRUE,TRUE,4,8,shared
ENSMUSG00000002524,Puf60,TRUE,TRUE,4,8,shared
ENSMUSG00000002546,Golga2,TRUE,TRUE,4,8,shared
ENSMUSG00000002550,Uck1,TRUE,TRUE,4,8,shared
ENSMUSG00000002565,Scin,TRUE,TRUE,4,1,shared
ENSMUSG00000002578,Ikzf4,TRUE,TRUE,1,4,shared
ENSMUSG00000002580,Mien1,TRUE,TRUE,4,6,shared
ENSMUSG00000002602,Axl,TRUE,TRUE,4,8,shared
ENSMUSG00000002603,Tgfb1,TRUE,TRUE,4,6,shared
ENSMUSG00000002608,Ccdc97,TRUE,TRUE,4,7,shared
ENSMUSG00000002617,Zfp40,TRUE,TRUE,4,6,shared
ENSMUSG00000002625,Akap8l,TRUE,TRUE,4,8,shared
ENSMUSG00000002633,Shh,TRUE,TRUE,4,6,shared
ENSMUSG00000002635,Pdcd2l,TRUE,TRUE,4,6,shared
ENSMUSG00000002658,Gtf2f1,TRUE,TRUE,4,8,shared
ENSMUSG00000002660,Clpp,TRUE,TRUE,4,7,shared
ENSMUSG00000002661,Alkbh7,TRUE,TRUE,4,6,shared
ENSMUSG00000002668,Dennd1c,TRUE,TRUE,4,5,shared
ENSMUSG00000002679,Med6,TRUE,TRUE,4,5,shared
ENSMUSG00000002688,Prkd1,TRUE,TRUE,4,6,shared
ENSMUSG00000002699,Lcp2,TRUE,TRUE,4,3,shared
ENSMUSG00000002718,Cse1l,TRUE,TRUE,4,7,shared
ENSMUSG00000002728,Naa20,TRUE,TRUE,4,5,shared
ENSMUSG00000002731,Prkra,TRUE,TRUE,4,6,shared
ENSMUSG00000002732,Fkbp7,TRUE,TRUE,4,5,shared
ENSMUSG00000002733,Plekha3,TRUE,TRUE,4,8,shared
ENSMUSG00000002741,Ykt6,TRUE,TRUE,4,8,shared
ENSMUSG00000002748,Baz1b,TRUE,TRUE,4,6,shared
ENSMUSG00000002763,Pex6,TRUE,TRUE,4,8,shared
ENSMUSG00000002767,Mrpl2,TRUE,TRUE,4,8,shared
